article,sample_count,positive_count,zero_count,zero_rate,median_positive_or_all,iqr_positive_or_all,p10_positive_or_all,p90_positive_or_all,median_all,p10_all,p90_all,zero_reason_count,amount_direct_count,proxy_keep72_count
10,443,278,165,0.37246,5000.0,5000.0,1516.065,12500.0,2000.0,0.0,10000.0,165,278,0
11,187,136,51,0.272727,10000.0,15106.6325,2500.0,36000.0,6000.0,0.0,29640.0,50,137,0
12,9,5,4,0.444444,4000.0,2000.0,1800.0,7100.0,1000.0,0.0,5700.0,4,5,0
13,1571,1268,303,0.192871,7000.0,25093.75,1600.0,70000.0,4800.0,0.0,60000.0,302,1265,4
14,195,119,76,0.389744,10000.0,15000.0,3060.212,35200.0,5000.0,0.0,27098.466,76,119,0
18,12,10,2,0.166667,20000.0,8750.0,4000.0,53000.0,17500.0,400.0,47000.0,2,10,0
2,620,588,32,0.051613,35000.0,43250.0,10000.0,153000.0,35000.0,6985.0,140900.0,32,588,0
25,3,3,0,0.0,47204.0,16401.0,27778.0,54019.6,47204.0,27778.0,54019.6,0,3,0
3,1802,1567,235,0.130411,12000.0,19000.0,4000.0,60000.0,10000.0,0.0,60000.0,235,1565,2
34,106,83,23,0.216981,10000.0,16000.0,1680.0,30000.0,7500.0,0.0,30000.0,23,83,0
38,37,35,2,0.054054,50000.0,47750.0,11400.0,100000.0,35000.0,7600.0,100000.0,2,35,0
4,6,4,2,0.333333,19000.0,25750.0,5900.0,38400.0,6500.0,0.0,36000.0,2,4,0
46,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
5,1784,1467,317,0.177691,7500.0,17000.0,1500.0,60000.0,5000.0,0.0,49850.0,317,1467,0
6,5648,4456,1192,0.211048,3600.0,5200.0,1200.0,13500.0,2800.0,0.0,12000.0,1191,4453,4
7,33,25,8,0.242424,8184.75,22467.0,2400.0,30000.0,6000.0,0.0,30000.0,8,25,0
8,899,706,193,0.214683,7500.0,8965.725,1500.0,25000.0,5000.0,0.0,20000.0,193,706,0
9,50,39,11,0.22,6000.0,6500.0,2000.0,20000.0,4250.0,0.0,18146.0,11,39,0
P1-1,879,650,229,0.260523,3900.0,4500.0,1500.0,16000.0,2600.0,0.0,14000.0,228,651,0
P1-2,17,12,5,0.294118,5500.0,5000.0,2000.0,11800.0,4000.0,0.0,10800.0,5,12,0
P1-3,49,30,19,0.387755,10000.0,13125.0,4770.0,40500.0,7500.0,0.0,30000.0,19,30,0
P12-1,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
P4-2,36,24,12,0.333333,5000.0,6500.0,2000.0,24900.0,2000.0,0.0,12750.0,12,24,0
P4-4,5,5,0,0.0,15000.0,20000.0,10000.0,30000.0,15000.0,10000.0,30000.0,0,5,0
P6-1,2,2,0,0.0,100000.0,0.0,100000.0,100000.0,100000.0,100000.0,100000.0,0,2,0
P7-1,3,3,0,0.0,5000.0,2300.0,2920.0,6600.0,5000.0,2920.0,6600.0,0,3,0
P7-2,12,11,1,0.083333,4500.0,2500.0,2000.0,7000.0,3750.0,1100.0,6900.0,1,11,0
P7-3,1,1,0,0.0,30000.0,0.0,30000.0,30000.0,30000.0,30000.0,30000.0,0,1,0
P7-4,17,13,4,0.235294,3000.0,2000.0,2200.0,9000.0,3000.0,0.0,7000.0,4,13,0
