article,country_alpha2,sample_count,positive_count,zero_count,zero_rate,median_positive_or_all,iqr_positive_or_all,p10_positive_or_all,p90_positive_or_all,median_all,p10_all,p90_all,zero_reason_count,amount_direct_count,proxy_keep72_count
10,AM,1,1,0,0.0,20000.0,0.0,20000.0,20000.0,20000.0,20000.0,20000.0,0,1,0
10,AT,31,2,29,0.935484,3500.0,1500.0,2300.0,4700.0,0.0,0.0,0.0,29,2,0
10,AZ,5,5,0,0.0,14000.0,5000.0,4600.0,21000.0,14000.0,4600.0,21000.0,0,5,0
10,BE,2,1,1,0.5,10000.0,0.0,10000.0,10000.0,5000.0,1000.0,9000.0,1,1,0
10,BG,17,13,4,0.235294,5000.0,1000.0,2300.0,8800.0,4500.0,0.0,8400.0,4,13,0
10,CH,13,1,12,0.923077,5000.0,0.0,5000.0,5000.0,0.0,0.0,0.0,12,1,0
10,CY,1,1,0,0.0,15000.0,0.0,15000.0,15000.0,15000.0,15000.0,15000.0,0,1,0
10,DE,6,2,4,0.666667,6500.0,3500.0,3700.0,9300.0,0.0,0.0,6500.0,4,2,0
10,DK,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10,EE,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10,ES,3,2,1,0.333333,12000.0,8000.0,5600.0,18400.0,4000.0,800.0,16800.0,1,2,0
10,FI,19,13,6,0.315789,3000.0,3000.0,2000.0,5808.4,2000.0,0.0,5233.6,6,13,0
10,FR,15,1,14,0.933333,7622.45,0.0,7622.45,7622.45,0.0,0.0,0.0,14,1,0
10,GB,10,1,9,0.9,35000.0,0.0,35000.0,35000.0,0.0,0.0,3500.0,9,1,0
10,GE,1,1,0,0.0,1500.0,0.0,1500.0,1500.0,1500.0,1500.0,1500.0,0,1,0
10,GR,3,2,1,0.333333,7000.0,0.0,7000.0,7000.0,7000.0,1400.0,7000.0,1,2,0
10,HR,5,4,1,0.2,2000.0,1625.0,1500.0,4250.0,1500.0,600.0,4000.0,1,4,0
10,HU,22,13,9,0.409091,4000.0,5000.0,2000.0,11400.0,2000.0,0.0,8900.0,9,13,0
10,IE,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
10,IS,7,4,3,0.428571,5000.0,375.0,4300.0,5350.0,4000.0,0.0,5200.0,3,4,0
10,IT,1,1,0,0.0,12000.0,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,0,1,0
10,LI,1,1,0,0.0,6241.0,0.0,6241.0,6241.0,6241.0,6241.0,6241.0,0,1,0
10,LT,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
10,LU,3,1,2,0.666667,8000.0,0.0,8000.0,8000.0,0.0,0.0,6400.0,2,1,0
10,LV,2,2,0,0.0,9000.0,1000.0,8200.0,9800.0,9000.0,8200.0,9800.0,0,2,0
10,MD,16,14,2,0.125,3000.0,2750.0,3000.0,9925.0,3000.0,1500.0,9875.0,2,14,0
10,ME,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
10,MK,2,2,0,0.0,15750.0,14250.0,4350.0,27150.0,15750.0,4350.0,27150.0,0,2,0
10,MT,4,4,0,0.0,4000.0,1500.0,4000.0,8200.0,4000.0,4000.0,8200.0,0,4,0
10,NL,5,0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0,0
10,NO,6,0,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0,0
10,PL,30,26,4,0.133333,3000.0,2000.0,2000.0,5000.0,3000.0,0.0,5000.0,4,26,0
10,PT,3,0,3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0
10,RO,11,8,3,0.272727,4500.0,1463.265,3000.0,4500.0,3048.98,0.0,4500.0,3,8,0
10,RS,6,3,3,0.5,500.0,2750.0,500.0,4900.0,250.0,0.0,3250.0,3,3,0
10,RU,59,47,12,0.20339,7500.0,7950.0,1000.0,23400.0,5800.0,0.0,14000.0,12,47,0
10,SE,2,2,0,0.0,16000.0,11000.0,7200.0,24800.0,16000.0,7200.0,24800.0,0,2,0
10,SI,2,1,1,0.5,2400.0,0.0,2400.0,2400.0,1200.0,240.0,2160.0,1,1,0
10,SK,9,6,3,0.333333,5850.0,3357.7875,1261.475,7875.0,1522.95,0.0,6750.0,3,6,0
10,TR,102,83,19,0.186275,5000.0,3798.98,1800.0,12000.0,3375.0,0.0,10000.0,19,83,0
10,UA,11,10,1,0.090909,4250.0,3350.0,1000.0,8700.0,4000.0,1000.0,6000.0,1,10,0
11,AM,10,6,4,0.4,2000.0,5000.0,1000.0,11300.0,1000.0,0.0,7860.0,4,6,0
11,AT,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
11,AZ,29,28,1,0.034483,12000.0,14500.0,4000.0,39000.0,12000.0,3400.0,38000.0,1,28,0
11,BG,12,8,4,0.333333,7500.0,3750.0,2850.0,9900.0,4500.0,0.0,9000.0,4,8,0
11,CH,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
11,DE,1,1,0,0.0,6000.0,0.0,6000.0,6000.0,6000.0,6000.0,6000.0,0,1,0
11,DK,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
11,FR,2,1,1,0.5,4573.47,0.0,4573.47,4573.47,2286.735,457.347,4116.123,1,1,0
11,GB,3,1,2,0.666667,7730.0,0.0,7730.0,7730.0,0.0,0.0,6184.0,2,1,0
11,GE,2,2,0,0.0,19750.0,13750.0,8750.0,30750.0,19750.0,8750.0,30750.0,0,2,0
11,GR,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
11,HR,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
11,HU,10,2,8,0.8,2400.0,0.0,2400.0,2400.0,0.0,0.0,2400.0,7,3,0
11,IS,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
11,IT,2,1,1,0.5,10000.0,0.0,10000.0,10000.0,5000.0,1000.0,9000.0,1,1,0
11,LV,1,1,0,0.0,10000.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,1,0
11,MD,13,12,1,0.076923,6625.0,6750.0,3000.0,24000.0,6000.0,1400.0,23000.0,1,12,0
11,MK,5,5,0,0.0,4500.0,2000.0,3000.0,5000.0,4500.0,3000.0,5000.0,0,5,0
11,PL,2,1,1,0.5,5000.0,0.0,5000.0,5000.0,2500.0,500.0,4500.0,1,1,0
11,RO,3,1,2,0.666667,4500.0,0.0,4500.0,4500.0,0.0,0.0,3600.0,2,1,0
11,RU,42,37,5,0.119048,12500.0,16000.0,5200.0,50000.0,12500.0,150.0,50000.0,5,37,0
11,SE,1,1,0,0.0,27000.0,0.0,27000.0,27000.0,27000.0,27000.0,27000.0,0,1,0
11,TR,35,21,14,0.4,7500.0,16426.53,2500.0,42000.0,3000.0,0.0,27600.0,14,21,0
11,UA,7,7,0,0.0,6000.0,10250.0,3500.0,21600.0,6000.0,3500.0,21600.0,0,7,0
12,CH,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
12,GB,4,1,3,0.75,8500.0,0.0,8500.0,8500.0,0.0,0.0,5950.0,3,1,0
12,HR,1,1,0,0.0,4000.0,0.0,4000.0,4000.0,4000.0,4000.0,4000.0,0,1,0
12,PL,2,2,0,0.0,3000.0,2000.0,1400.0,4600.0,3000.0,1400.0,4600.0,0,2,0
12,UA,1,1,0,0.0,3000.0,0.0,3000.0,3000.0,3000.0,3000.0,3000.0,0,1,0
13,AL,16,10,6,0.375,3800.0,134425.0,1270.0,1353290.0,1650.0,0.0,245000.0,6,10,0
13,AM,7,5,2,0.285714,11700.0,11400.0,2880.0,24000.0,3600.0,0.0,21000.0,2,5,0
13,AT,14,7,7,0.5,6000.0,10500.0,1000.0,22400.0,500.0,0.0,16400.0,7,7,0
13,AZ,7,4,3,0.428571,14000.0,14250.0,10600.0,43300.0,10000.0,0.0,31600.0,3,4,0
13,BA,3,3,0,0.0,12000.0,0.0,12000.0,12000.0,12000.0,12000.0,12000.0,0,3,0
13,BE,5,4,1,0.2,16375.0,15167.5,5436.0,24955.0,10000.0,1392.0,24640.0,1,4,0
13,BG,112,99,13,0.116071,5000.0,4950.0,1440.0,15595.92,4000.0,0.0,15000.0,13,99,0
13,CH,2,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0
