article,sample_count,zero_rate,median,iqr,p10,p90
10,443,0.37246,5000.0,5000.0,1516.065,12500.0
11,187,0.272727,10000.0,15106.6325,2500.0,36000.0
12,9,0.444444,4000.0,2000.0,1800.0,7100.0
13,1571,0.192871,7000.0,25093.75,1600.0,70000.0
14,195,0.389744,10000.0,15000.0,3060.212,35200.0
18,12,0.166667,20000.0,8750.0,4000.0,53000.0
2,620,0.051613,35000.0,43250.0,10000.0,153000.0
25,3,0.0,47204.0,16401.0,27778.0,54019.6
3,1802,0.130411,12000.0,19000.0,4000.0,60000.0
34,106,0.216981,10000.0,16000.0,1680.0,30000.0
38,37,0.054054,50000.0,47750.0,11400.0,100000.0
4,6,0.333333,19000.0,25750.0,5900.0,38400.0
46,1,1.0,0.0,0.0,0.0,0.0
5,1784,0.177691,7500.0,17000.0,1500.0,60000.0
6,5648,0.211048,3600.0,5200.0,1200.0,13500.0
7,33,0.242424,8184.75,22467.0,2400.0,30000.0
8,899,0.214683,7500.0,8965.725,1500.0,25000.0
9,50,0.22,6000.0,6500.0,2000.0,20000.0
P1-1,879,0.260523,3900.0,4500.0,1500.0,16000.0
P1-2,17,0.294118,5500.0,5000.0,2000.0,11800.0
P1-3,49,0.387755,10000.0,13125.0,4770.0,40500.0
P12-1,2,1.0,0.0,0.0,0.0,0.0
P4-2,36,0.333333,5000.0,6500.0,2000.0,24900.0
P4-4,5,0.0,15000.0,20000.0,10000.0,30000.0
P6-1,2,0.0,100000.0,0.0,100000.0,100000.0
P7-1,3,0.0,5000.0,2300.0,2920.0,6600.0
P7-2,12,0.083333,4500.0,2500.0,2000.0,7000.0
P7-3,1,0.0,30000.0,0.0,30000.0,30000.0
P7-4,17,0.235294,3000.0,2000.0,2200.0,9000.0
