country_alpha2,sample_count,positive_count,zero_count,zero_rate,median_positive_or_all,iqr_positive_or_all,p10_positive_or_all,p90_positive_or_all,median_all,p10_all,p90_all,zero_reason_count,amount_direct_count,proxy_keep72_count
AL,48,31,17,0.354167,5000.0,7850.0,1500.0,20800.0,2500.0,0.0,15600.0,17,31,0
AM,88,84,4,0.045455,3600.0,4375.0,1650.0,18800.0,3600.0,1000.0,17200.0,4,84,0
AT,225,113,112,0.497778,5000.0,7000.0,1523.52,20000.0,1000.0,0.0,11360.0,112,113,0
AZ,149,133,16,0.107383,11000.0,15200.0,3120.0,36000.0,10000.0,0.0,34400.0,16,133,0
BA,67,54,13,0.19403,4250.0,12250.0,1500.0,50100.0,3000.0,0.0,40400.0,13,54,0
BE,34,15,19,0.558824,10000.0,18875.0,4000.0,29860.0,0.0,0.0,24325.0,19,15,0
BG,367,313,54,0.147139,3600.0,5000.0,1500.0,14900.0,3000.0,0.0,12400.0,54,313,0
CH,60,13,47,0.783333,5000.0,5000.0,1452.676,18000.0,0.0,0.0,5300.0,47,13,0
CY,51,39,12,0.235294,8000.0,7327.75,3840.0,18942.4,6500.0,0.0,16181.0,12,39,0
CZ,52,28,24,0.461538,6400.0,12000.0,2070.0,21500.0,1800.0,0.0,19500.0,24,28,0
DE,148,97,51,0.344595,6000.0,8000.0,2060.0,25000.0,3750.0,0.0,17128.566,51,97,0
DK,13,8,5,0.384615,6000.0,7301.8,2000.0,15300.0,2000.0,0.0,13880.48,5,8,0
EE,43,38,5,0.116279,3200.0,3675.0,1000.0,10000.0,3000.0,160.0,9700.0,5,38,0
ES,36,18,18,0.5,11000.0,15750.0,3318.8,30000.0,751.265,0.0,20000.0,18,18,0
FI,121,102,19,0.157025,3363.76,3260.5,2000.0,8000.0,3000.0,0.0,8000.0,19,102,0
FR,99,35,64,0.646465,8000.0,8720.41,3048.98,15244.9,0.0,0.0,12500.818,64,35,0
GB,274,103,171,0.624088,5000.0,8000.0,1468.0,19820.0,0.0,0.0,10000.0,171,103,0
GE,60,51,9,0.15,4500.0,9250.0,1000.0,20000.0,3550.0,0.0,18200.0,9,51,0
GR,101,80,21,0.207921,8812.055,15000.0,3900.0,51400.0,6060.0,0.0,40100.0,21,80,0
HR,282,217,65,0.230496,3400.0,5500.0,1330.0,12500.0,2500.0,0.0,10000.0,65,217,0
HU,467,385,82,0.175589,6000.0,7000.0,1829.0,16000.0,4800.0,0.0,14400.0,81,386,0
IE,18,12,6,0.333333,8000.0,5105.2625,5007.895,24000.0,5289.475,0.0,18000.0,6,12,0
IS,21,10,11,0.52381,5000.0,2375.0,3850.0,16500.0,0.0,0.0,8000.0,11,10,0
IT,234,186,48,0.205128,6713.94,6229.14,3000.0,18000.0,6000.0,0.0,15345.59,48,186,0
LI,7,4,3,0.428571,6000.0,60.25,6000.0,6168.7,6000.0,0.0,6096.4,3,4,0
LT,126,106,20,0.15873,6000.0,5795.55,1711.09,17101.2,4900.0,0.0,14500.0,20,106,0
LU,7,3,4,0.571429,6045.75,1500.0,5209.15,7609.15,0.0,0.0,6827.45,4,3,0
LV,86,75,11,0.127907,5000.0,6000.0,1200.0,10600.0,5000.0,0.0,10000.0,11,75,0
MD,294,272,22,0.07483,4500.0,8000.0,1364.0,17370.0,4000.0,800.0,16000.0,22,272,0
ME,45,33,12,0.266667,3600.0,4350.0,1040.0,9740.0,1500.0,0.0,8220.0,12,33,0
MK,129,105,24,0.186047,2500.0,2940.0,800.0,9000.0,2000.0,0.0,9000.0,24,105,0
MT,59,41,18,0.305085,5000.0,7000.0,1200.0,25000.0,3000.0,0.0,24000.0,18,41,0
NL,74,28,46,0.621622,5000.0,6375.0,1500.0,20000.0,0.0,0.0,8700.0,46,28,0
NO,28,13,15,0.535714,15000.0,13000.0,5200.0,24000.0,0.0,0.0,20000.0,15,13,0
PL,737,652,85,0.115332,3600.0,5000.0,1000.0,10000.0,3000.0,0.0,10000.0,85,652,0
PT,48,33,15,0.3125,4550.0,12675.0,1190.0,24600.0,2665.0,0.0,20900.0,15,33,0
RO,373,325,48,0.128686,6000.0,7000.0,2000.0,22500.0,4950.0,0.0,20800.0,48,325,0
RS,164,132,32,0.195122,3100.0,4100.0,1500.0,12270.0,2000.0,0.0,12000.0,32,132,0
RU,2176,1788,388,0.178309,7500.0,17000.0,1600.0,60000.0,5000.0,0.0,49750.0,387,1788,1
SE,47,23,24,0.510638,6000.0,12500.0,1500.0,19000.0,0.0,0.0,15000.0,24,23,0
SI,284,259,25,0.088028,3200.0,4400.0,1200.0,9100.0,3200.0,1000.0,8350.0,25,259,0
SK,298,261,37,0.124161,4000.0,3600.0,1500.0,10000.0,3500.0,0.0,9825.0,37,261,0
SM,5,4,1,0.2,4082.285,2547.7975,2650.0,5887.607,3000.0,1000.0,5784.316,1,4,0
TR,1042,771,271,0.260077,8000.0,11790.0,1800.0,40000.0,4800.0,0.0,29321.75,270,772,0
UA,1130,876,254,0.224779,2600.0,5225.0,870.0,12000.0,2000.0,0.0,10000.0,254,871,5
