itemid,hudoc_url,split,test_view,test_challenging_view,respondent_state,country_alpha2,judgment_year,gdp_per_capita_current_usd,gdp_constant_2015_usd,gdp_per_capita_log1p,gdp_constant_2015_log1p
001-57544,https://hudoc.echr.coe.int/eng?i=001-57544,train,,False,Austria,at,1968,1685.66211669,118072782528.0,7.430506776,25.4945670724
001-57496,https://hudoc.echr.coe.int/eng?i=001-57496,train,,False,United Kingdom,gb,1975,4299.74561799,1203900150370.0,8.36654368618,27.8165875278
001-57506,https://hudoc.echr.coe.int/eng?i=001-57506,train,,False,United Kingdom,gb,1978,5976.938169,1310033665480.0,8.6958309997,27.9010739517
001-57587,https://hudoc.echr.coe.int/eng?i=001-57587,train,,False,United Kingdom,gb,1978,5976.938169,1310033665480.0,8.6958309997,27.9010739517
001-57530,https://hudoc.echr.coe.int/eng?i=001-57530,train,,False,Germany,de,1978,9516.78283229,1778236712900.0,9.16091720489,28.2066433785
001-57534,https://hudoc.echr.coe.int/eng?i=001-57534,train,,False,Belgium,be,1979,11810.6158755,231579894682.0,9.37683872248,26.1681907684
001-57597,https://hudoc.echr.coe.int/eng?i=001-57597,train,,False,Netherlands,nl,1979,12817.3790153,370529803464.0,9.45863528062,26.6381997196
001-57469,https://hudoc.echr.coe.int/eng?i=001-57469,train,,False,Belgium,be,1980,12864.0025661,241871430006.0,9.46226592418,26.211672141
001-57463,https://hudoc.echr.coe.int/eng?i=001-57463,train,,False,Italy,it,1982,7573.93967598,1251600643350.0,8.93260066678,27.8554443628
001-57540,https://hudoc.echr.coe.int/eng?i=001-57540,train,,False,Switzerland,ch,1983,17859.2323696,381164080265.0,9.79033186496,26.6664957762
001-57554,https://hudoc.echr.coe.int/eng?i=001-57554,train,,False,Germany,de,1983,9900.48559234,1910188039690.0,9.2004400847,28.2782228032
001-57609,https://hudoc.echr.coe.int/eng?i=001-57609,train,,False,Switzerland,ch,1983,17859.2323696,381164080265.0,9.79033186496,26.6664957762
001-72567,https://hudoc.echr.coe.int/eng?i=001-72567,train,,False,Italy,it,1984,7757.55374837,1307081253660.0,8.95655122317,27.8988177167
001-57456,https://hudoc.echr.coe.int/eng?i=001-57456,train,,False,United Kingdom,gb,1984,8179.19444065,1411242824000.0,9.00947119956,27.9754918675
001-57497,https://hudoc.echr.coe.int/eng?i=001-57497,train,,False,Portugal,pt,1984,2522.74747621,107550590438.0,7.83350016961,25.4012271826
001-57533,https://hudoc.echr.coe.int/eng?i=001-57533,train,,False,United Kingdom,gb,1984,8179.19444065,1411242824000.0,9.00947119956,27.9754918675
001-57581,https://hudoc.echr.coe.int/eng?i=001-57581,train,,False,Austria,at,1984,8955.84829192,201077788420.0,9.10017369095,26.0269576772
001-57538,https://hudoc.echr.coe.int/eng?i=001-57538,train,,False,Sweden,se,1984,13080.030229,259729005210.0,9.4789183856,26.2829046368
001-57416,https://hudoc.echr.coe.int/eng?i=001-57416,train,,False,United Kingdom,gb,1985,8652.21654248,1462038836260.0,9.06568638543,28.0108530407
001-57436,https://hudoc.echr.coe.int/eng?i=001-57436,train,,False,Netherlands,nl,1985,9940.73843594,397037952227.0,9.20449717731,26.7072977106
001-57468,https://hudoc.echr.coe.int/eng?i=001-57468,train,,False,Germany,de,1986,13511.1520027,2055806640790.0,9.51134470789,28.3516894128
001-57523,https://hudoc.echr.coe.int/eng?i=001-57523,train,,False,Austria,at,1986,13031.8281011,210845294932.0,9.47522669193,26.0743905021
001-57571,https://hudoc.echr.coe.int/eng?i=001-57571,train,,False,Switzerland,ch,1986,24459.8536348,414620577536.0,10.1048293078,26.750629668
001-57508,https://hudoc.echr.coe.int/eng?i=001-57508,train,,False,Ireland,ie,1986,8112.17136316,65215568204.5,9.00124411422,24.9009640535
001-57441,https://hudoc.echr.coe.int/eng?i=001-57441,train,,False,Sweden,se,1987,21760.9646491,281619877046.0,9.98791898408,26.3638240448
