itemid,hudoc_url,judgementdate,chrono_date,judgment_year,split,test_view,test_challenging_view,respondent_state,country_alpha2,hudoc_decision_body,court_formation,is_grand_chamber,case_importance,has_separate_opinion,represented,num_applicants,num_violations_found,has_mixed_outcome,violated_articles,violated_articles_count,violation_type,app_sex_male_ratio,app_sex_female_ratio,app_sex_unknown_ratio,app_age_child_ratio,app_age_adolescent_ratio,app_age_adult_ratio,app_age_elderly_ratio,app_age_unknown_ratio,app_birth_year_median,app_unique_nationality_count,app_multi_nationality_flag,perapp_unique_beneficiary_category_count,perapp_has_joint_beneficiary_category_flag,rl_violation_type_procedural_ratio,rl_violation_type_both_ratio,rl_violation_duration_months,rl_violation_duration_months_missing_ratio,gdp_per_capita_current_usd,gdp_constant_2015_usd,gdp_per_capita_log1p,gdp_constant_2015_log1p,y_amount_eur,y_binary
001-57544,https://hudoc.echr.coe.int/eng?i=001-57544,27/06/1968 00:00:00,1968-06-27,1968,train,,False,Austria,at,CHAMBER,Chamber,False,2,True,False,1,1,False,5,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1922.0,1,0,0,0,0.0,0.0,26.0,0.0,1685.66211669,118072782528.0,7.430506776,25.4945670724,0.0,0
001-57496,https://hudoc.echr.coe.int/eng?i=001-57496,21/02/1975 00:00:00,1975-02-21,1975,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,1,2,False,6;8,2,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1923.0,1,0,0,0,0.0,0.0,0.0,1.0,4299.74561799,1203900150370.0,8.36654368618,27.8165875278,0.0,0
001-57506,https://hudoc.echr.coe.int/eng?i=001-57506,18/01/1978 00:00:00,1978-01-18,1978,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,1,1,True,3,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,36.0,0.0,5976.938169,1310033665480.0,8.6958309997,27.9010739517,0.0,0
001-57587,https://hudoc.echr.coe.int/eng?i=001-57587,25/04/1978 00:00:00,1978-04-25,1978,train,,False,United Kingdom,gb,CHAMBER,Chamber,False,2,True,False,1,1,False,3,1,substantive,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1956.0,1,0,0,0,0.0,0.0,0.0,0.0,5976.938169,1310033665480.0,8.6958309997,27.9010739517,0.0,0
001-57530,https://hudoc.echr.coe.int/eng?i=001-57530,28/11/1978 00:00:00,1978-11-28,1978,train,,False,Germany,de,CHAMBER,Chamber,False,2,True,False,3,1,False,6,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1947.0,3,1,1,0,0.0,0.0,0.0,1.0,9516.78283229,1778236712900.0,9.16091720489,28.2066433785,0.0,0
001-57534,https://hudoc.echr.coe.int/eng?i=001-57534,13/06/1979 00:00:00,1979-06-13,1979,train,,False,Belgium,be,CHAMBER,Chamber,False,2,True,False,2,5,False,8;14;P1-1,3,substantive,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,1973.0,1,0,0,0,0.0,0.0,0.0,1.0,11810.6158755,231579894682.0,9.37683872248,26.1681907684,0.0,0
001-57597,https://hudoc.echr.coe.int/eng?i=001-57597,24/10/1979 00:00:00,1979-10-24,1979,train,,False,Netherlands,nl,CHAMBER,Chamber,False,2,False,False,1,2,True,5;6,2,procedural,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,12817.3790153,370529803464.0,9.45863528062,26.6381997196,0.0,0
001-57469,https://hudoc.echr.coe.int/eng?i=001-57469,27/02/1980 00:00:00,1980-02-27,1980,train,,False,Belgium,be,CHAMBER,Chamber,False,2,True,False,1,1,False,6,1,substantive,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,12864.0025661,241871430006.0,9.46226592418,26.211672141,0.0,0
001-57463,https://hudoc.echr.coe.int/eng?i=001-57463,10/12/1982 00:00:00,1982-12-10,1982,train,,False,Italy,it,CHAMBER,Chamber,False,2,False,False,1,1,False,6,1,procedural,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1921.0,1,0,1,0,1.0,0.0,0.0,1.0,7573.93967598,1251600643350.0,8.93260066678,27.8554443628,0.0,0
001-57540,https://hudoc.echr.coe.int/eng?i=001-57540,25/03/1983 00:00:00,1983-03-25,1983,train,,False,Switzerland,ch,CHAMBER,Chamber,False,2,False,False,1,1,False,6,1,substantive,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1932.0,1,0,1,0,0.0,0.0,0.0,1.0,17859.2323696,381164080265.0,9.79033186496,26.6664957762,0.0,0
