itemid,country_alpha2,hudoc_decision_body,case_importance,has_separate_opinion,represented,num_violations_found,violation_type,num_applicants,judgment_year,judgment_month,violated_articles_count,violated_article_6,violated_article_3,violated_article_5,violated_article_13,violated_article_8,violated_article_P1_1,violated_article_2,violated_article_10,violated_article_11,violated_article_14,violated_article_34,violated_article_9,violated_article_P1_3,violated_article_38,violated_article_P4_2,violated_article_7,violated_article_P7_4,violated_article_P1_2,violated_article_18,violated_article_P7_2,app_sex_male_ratio,app_sex_female_ratio,app_sex_unknown_ratio,app_age_child_ratio,app_age_adolescent_ratio,app_age_adult_ratio,app_age_elderly_ratio,app_age_unknown_ratio,app_birth_year_median,app_unique_nationality_count,app_multi_nationality_flag,perapp_unique_beneficiary_category_count,perapp_has_joint_beneficiary_category_flag,rl_violation_type_procedural_ratio,rl_violation_type_both_ratio,rl_violation_duration_months,rl_violation_duration_months_missing_ratio,gdp_per_capita_log1p,gdp_constant_2015_log1p
001-57544,at,CHAMBER,2,1,0,1,substantive,1,1968,6,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1922.0,1,0,0,0,0.0,0.0,26.0,0.0,7.430506776,25.4945670724
001-57496,gb,CHAMBER,2,1,0,2,substantive,1,1975,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1923.0,1,0,0,0,0.0,0.0,0.0,1.0,8.36654368618,27.8165875278
001-57506,gb,CHAMBER,2,1,0,1,substantive,1,1978,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,0,0.0,0.0,36.0,0.0,8.6958309997,27.9010739517
001-57587,gb,CHAMBER,2,1,0,1,substantive,1,1978,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1956.0,1,0,0,0,0.0,0.0,0.0,0.0,8.6958309997,27.9010739517
001-57530,de,CHAMBER,2,1,0,1,substantive,3,1978,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1947.0,3,1,1,0,0.0,0.0,0.0,1.0,9.16091720489,28.2066433785
001-57534,be,CHAMBER,2,1,0,5,substantive,2,1979,6,3,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.5,0.0,0.5,0.0,0.0,1973.0,1,0,0,0,0.0,0.0,0.0,1.0,9.37683872248,26.1681907684
001-57597,nl,CHAMBER,2,0,0,2,procedural,1,1979,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,1.0,0.0,0.0,1.0,9.45863528062,26.6381997196
001-57469,be,CHAMBER,2,1,0,1,substantive,1,1980,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0.0,0.0,0.0,1.0,9.46226592418,26.211672141
001-57463,it,CHAMBER,2,0,0,1,procedural,1,1982,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1921.0,1,0,1,0,1.0,0.0,0.0,1.0,8.93260066678,27.8554443628
001-57540,ch,CHAMBER,2,0,0,1,substantive,1,1983,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1932.0,1,0,1,0,0.0,0.0,0.0,1.0,9.79033186496,26.6664957762
