itemid,y_amount_eur,y_binary
001-57544,0.0,0
001-57496,0.0,0
001-57506,0.0,0
001-57587,0.0,0
001-57530,0.0,0
001-57534,0.0,0
001-57597,0.0,0
001-57469,0.0,0
001-57463,0.0,0
001-57540,0.0,0
001-57554,0.0,0
001-57609,0.0,0
001-72567,0.0,0
001-57456,0.0,0
001-57497,0.0,0
001-57533,0.0,0
001-57581,0.0,0
001-57538,0.0,0
001-57416,0.0,0
001-57436,0.0,0
001-57468,0.0,0
001-57523,0.0,0
001-57571,0.0,0
001-57508,0.0,0
001-57441,0.0,0
001-57505,0.0,0
001-57490,0.0,0
001-57446,0.0,0
001-57477,0.0,0
001-57555,0.0,0
001-57575,0.0,0
001-57547,0.0,0
001-57460,0.0,0
001-57514,0.0,0
001-57500,0.0,0
001-57515,0.0,0
001-57586,0.0,0
001-57611,0.0,0
001-57618,0.0,0
001-57619,0.0,0
001-57423,0.0,0
001-57612,0.0,0
001-57614,0.0,0
001-57638,0.0,0
001-57624,1000.0,1
001-57626,0.0,0
001-57627,0.0,0
001-57629,0.0,0
001-57630,0.0,0
001-57634,0.0,0
001-57640,0.0,0
001-57635,0.0,0
001-57642,0.0,0
001-57644,0.0,0
001-57636,0.0,0
001-57646,0.0,0
001-57655,0.0,0
001-57675,0.0,0
001-57716,0.0,0
001-57678,0.0,0
001-57682,0.0,0
001-57679,0.0,0
001-57683,0.0,0
001-57720,0.0,0
001-57705,0.0,0
001-57708,0.0,0
001-57703,0.0,0
001-57710,0.0,0
001-57750,0.0,0
001-57771,0.0,0
001-57767,0.0,0
001-57790,0.0,0
001-57772,0.0,0
001-57784,0.0,0
001-57795,0.0,0
001-57757,0.0,0
001-57791,0.0,0
001-57797,0.0,0
001-57789,0.0,0
001-57765,0.0,0
001-57782,0.0,0
001-57783,0.0,0
001-57778,0.0,0
001-57779,0.0,0
001-57887,0.0,0
001-57805,0.0,0
001-57834,0.0,0
001-57820,0.0,0
001-57825,0.0,0
001-57840,0.0,0
001-57844,0.0,0
001-57842,0.0,0
001-57839,0.0,0
001-57829,0.0,0
001-57850,0.0,0
001-57848,0.0,0
001-57858,0.0,0
001-57854,0.0,0
001-57851,0.0,0
001-57865,0.0,0
001-57867,15000.0,1
001-57878,0.0,0
001-57880,0.0,0
001-57900,0.0,0
001-57902,0.0,0
001-57891,0.0,0
001-57904,0.0,0
001-57899,0.0,0
001-57901,0.0,0
001-57907,0.0,0
001-57909,0.0,0
001-57910,0.0,0
001-57913,0.0,0
001-57908,0.0,0
001-57915,0.0,0
001-57916,0.0,0
001-57925,0.0,0
001-57930,0.0,0
001-57934,0.0,0
001-57947,0.0,0
001-57941,0.0,0
001-57943,0.0,0
001-57944,0.0,0
001-57945,0.0,0
001-57948,0.0,0
001-57958,0.0,0
001-57960,0.0,0
001-57962,0.0,0
001-57963,0.0,0
001-57980,0.0,0
001-57970,0.0,0
001-57978,0.0,0
001-57985,0.0,0
001-57976,0.0,0
001-57984,0.0,0
001-57974,0.0,0
001-57983,0.0,0
001-57990,0.0,0
001-57988,0.0,0
001-57997,0.0,0
001-58060,0.0,0
001-58071,0.0,0
001-58004,0.0,0
001-58072,0.0,0
001-58073,0.0,0
001-58001,0.0,0
001-58009,0.0,0
001-58082,0.0,0
001-58083,0.0,0
001-58010,0.0,0
001-58011,0.0,0
001-58024,0.0,0
001-58199,0.0,0
001-58031,0.0,0
001-58016,0.0,0
001-58017,0.0,0
001-58023,0.0,0
001-58035,0.0,0
001-58037,0.0,0
001-58039,10000.0,1
001-58044,0.0,0
001-58085,0.0,0
001-58178,0.0,0
001-58179,0.0,0
001-58095,0.0,0
001-58096,0.0,0
001-58097,0.0,0
001-58098,0.0,0
001-58104,0.0,0
001-58113,0.0,0
001-58114,0.0,0
001-58116,0.0,0
001-58119,0.0,0
001-58120,0.0,0
001-58124,0.0,0
001-58125,0.0,0
001-58128,0.0,0
001-58129,0.0,0
001-58134,0.0,0
001-58144,0.0,0
001-58145,0.0,0
001-58147,0.0,0
001-58148,0.0,0
001-58149,0.0,0
001-58154,0.0,0
001-58166,0.0,0
001-58205,0.0,0
001-58203,0.0,0
001-58208,0.0,0
001-58218,0.0,0
001-58233,0.0,0
001-58229,0.0,0
001-58237,0.0,0
001-58241,0.0,0
001-58245,0.0,0
001-58253,0.0,0
001-58256,0.0,0
001-58259,0.0,0
001-58260,0.0,0
001-58264,0.0,0
001-58906,0.0,0
001-58908,0.0,0
001-58211,0.0,0
001-58911,12911.42,1
001-58913,0.0,0
001-58914,5166.3,1
001-58915,0.0,0
001-58225,3475.05,1
001-58226,13720.41,1
001-58228,0.0,0
001-58239,0.0,0
001-58242,0.0,0
001-58288,4573.47,1
001-58300,7745.0,1
001-58301,6197.48,1
001-58251,15244.9,1
001-58369,0.0,0
001-58266,0.0,0
001-58270,6097.96,1
001-58271,4573.47,1
001-58272,6097.96,1
001-58273,6097.96,1
001-58274,6097.96,1
001-58275,4573.47,1
001-58276,12958.17,1
001-58277,6097.96,1
001-58279,0.0,0
001-58280,4573.47,1
001-58281,0.0,0
001-58282,42022.75,1
001-58289,22921.5,1
001-58298,4573.47,1
001-58284,0.0,0
001-58292,0.0,0
001-58293,7746.85,1
001-58295,2582.28,1
001-58296,7746.85,1
001-58297,15493.71,1
001-58304,0.0,0
001-58305,0.0,0
001-58306,3048.98,1
001-58409,0.0,0
001-58410,0.0,0
001-58321,1502.53,1
001-58457,0.0,0
001-58338,6241.0,1
001-58592,12195.92,1
001-58360,51645.69,1
001-58364,0.0,0
001-58365,0.0,0
001-58367,0.0,0
001-58372,4573.47,1
001-58374,3048.98,1
001-58379,25822.84,1
001-58518,6060.0,1
001-58593,0.0,0
001-58594,0.0,0
001-58403,762.25,1
001-58404,0.0,0
001-58406,1090.09,1
001-58587,0.0,0
001-58448,15244.9,1
001-58451,0.0,0
001-58588,6040.0,1
001-58456,3048.98,1
001-58458,1617.6,1
001-58460,1617.6,1
001-58461,0.0,0
001-58469,5164.57,1
001-58483,1494.0,1
001-58494,0.0,0
001-58590,9402.4,1
001-58496,0.0,0
001-58497,0.0,0
001-58608,37894.5,1
001-58609,0.0,0
001-58508,8123.5,1
001-58741,4344.5,1
001-58742,0.0,0
001-58523,28745.5,1
001-58524,28745.5,1
001-58525,7677.0,1
001-58526,5000.0,1
001-58743,5980.0,1
001-58744,2463.9,1
001-58536,0.0,0
001-58537,2000.0,1
001-58538,0.0,0
001-58782,3750.0,1
001-58559,38734.27,1
001-58561,17940.0,1
001-58562,7481.97,1
001-58897,2084.6,1
001-58576,13455.03,1
001-58783,0.0,0
001-58784,2522.82,1
001-58796,7230.4,1
001-58797,0.0,0
001-58798,0.0,0
001-58586,7622.45,1
001-58835,0.0,0
001-59199,38481.75,1
001-58841,0.0,0
001-58831,15244.9,1
001-58836,0.0,0
001-58837,0.0,0
001-58840,0.0,0
001-58901,47394.0,1
001-58607,3048.98,1
001-58838,0.0,0
001-58849,0.0,0
001-59194,7436.81,1
001-58734,25000.0,1
001-58735,55723.5,1
001-58736,3363.76,1
001-58737,2286.74,1
001-58762,9146.94,1
001-58898,2440.8,1
001-58739,489.12,1
001-58750,0.0,0
001-58751,30489.8,1
001-58900,0.0,0
001-59160,11344.51,1
001-58752,51645.69,1
001-58763,17895.22,1
001-58753,4573.47,1
001-58758,9146.94,1
001-58764,13944.34,1
001-58765,6197.48,1
001-59024,0.0,0
001-58781,16202.4,1
001-58922,16184.0,1
001-59025,2823.0,1
001-59075,0.0,0
001-59077,7851.6,1
001-59076,10329.14,1
001-58800,0.0,0
001-58803,0.0,0
001-58804,750.0,1
001-58805,6373.0,1
001-58806,0.0,0
001-58807,1000.0,1
001-58810,15244.9,1
001-58817,0.0,0
001-58818,0.0,0
001-58824,3063.02,1
001-58825,0.0,0
001-58826,0.0,0
001-58827,7267.28,1
001-58828,0.0,0
001-58829,0.0,0
001-58842,2051.6,1
001-58843,0.0,0
001-58844,3363.76,1
001-58848,2582.28,1
001-58853,11462.8,1
001-58855,0.0,0
001-58905,66756.0,1
001-58876,5900.0,1
001-58893,0.0,0
001-58902,762.25,1
001-58916,6045.75,1
001-58917,5146.6,1
001-58920,7719.9,1
001-58921,5138.5,1
001-59121,0.0,0
001-58954,3513.0,1
001-58955,0.0,0
001-58976,50043.0,1
001-58977,0.0,0
001-58978,0.0,0
001-58989,10329.14,1
001-58990,5164.57,1
001-58994,8820.0,1
001-59026,47204.0,1
001-59052,12782.3,1
001-59053,7267.28,1
001-59060,15493.71,1
001-59061,1324.94,1
001-59062,0.0,0
001-59081,49752.0,1
001-59082,6474.25,1
001-59096,6482.0,1
001-59097,5078.95,1
001-59099,1368.0,1
001-59100,16181.0,1
001-59101,5185.6,1
001-59102,0.0,0
001-59112,1029.4,1
001-59125,8804.11,1
001-59127,3770.0,1
001-59164,14534.57,1
001-59166,2180.19,1
001-59167,7622.45,1
001-59204,0.0,0
001-59205,0.0,0
001-59208,0.0,0
001-59209,0.0,0
001-59210,0.0,0
001-59211,0.0,0
001-59216,15244.9,1
001-59217,0.0,0
001-59218,5312.8,1
001-59219,78755.0,1
001-59220,0.0,0
001-59221,8184.75,1
001-59222,7746.85,1
001-59335,0.0,0
001-59338,14673.51,1
001-59339,0.0,0
001-59347,1453.46,1
001-59363,0.0,0
001-59364,1963.62,1
001-59365,10000.0,1
001-59367,1307.96,1
001-59372,48396.0,1
001-59403,1845.6,1
001-59413,14673.51,1
001-59414,0.0,0
001-59424,4131.66,1
001-59432,6197.48,1
001-59434,8263.31,1
001-59435,6713.94,1
001-59439,7230.4,1
001-59449,0.0,0
001-59450,16062.0,1
001-59451,16062.0,1
001-59452,16062.0,1
001-59453,16062.0,1
001-59455,128000.0,1
001-59456,32138.0,1
001-59460,8238.5,1
001-59470,3048.98,1
001-59474,34656.0,1
001-59480,840.94,1
001-59481,2522.82,1
001-59483,0.0,0
001-59519,8829.6,1
001-59520,0.0,0
001-59521,0.0,0
001-59534,7336.76,1
001-59535,0.0,0
001-59536,0.0,0
001-59559,6713.94,1
001-59562,37176.75,1
001-59564,0.0,0
001-59565,7435.35,1
001-59587,6727.52,1
001-59588,1522.95,1
001-59590,0.0,0
001-59592,34301.03,1
001-59594,29357.5,1
001-59603,7622.45,1
001-59604,5164.57,1
001-59605,0.0,0
001-59607,1628.9,1
001-59608,1722.18,1
001-59612,5433.8,1
001-59613,3083.22,1
001-59614,5433.8,1
001-59615,10329.14,1
001-59616,2758.6,1
001-59621,0.0,0
001-59623,0.0,0
001-59626,0.0,0
001-59665,1593.6,1
001-59676,0.0,0
001-59677,30489.8,1
001-59678,15244.9,1
001-59682,3363.76,1
001-59686,6443.2,1
001-59690,13720.41,1
001-59692,6544.5,1
001-59713,5112.92,1
001-59717,25564.59,1
001-59718,28121.05,1
001-59719,12782.3,1
001-59721,0.0,0
001-59722,0.0,0
001-59723,5164.57,1
001-59762,4402.05,1
001-59853,16046.0,1
001-59854,15244.9,1
001-59855,15244.9,1
001-59856,15244.9,1
001-59857,15244.9,1
001-59858,15244.9,1
001-59859,15244.9,1
001-59860,15244.9,1
001-59861,15245.0,1
001-59862,15244.9,1
001-59863,15244.9,1
001-59864,10671.43,1
001-59865,15244.9,1
001-59868,15244.9,1
001-59876,8482.2,1
001-59880,2761.3,1
001-59884,8283.9,1
001-59983,0.0,0
001-59984,9447.47,1
001-59985,20000.0,1
001-59987,1534.45,1
001-59992,2789.9,1
001-59996,0.0,0
001-59997,0.0,0
001-60002,2180.19,1
001-60005,2706.8,1
001-60016,3633.72,1
001-60017,9447.66,1
001-60019,3500.0,1
001-60021,3000.0,1
001-60026,10000.0,1
001-60027,15250.0,1
001-60028,15250.0,1
001-60029,15250.0,1
001-60030,15250.0,1
001-60031,15250.0,1
001-60032,15250.0,1
001-60033,15250.0,1
