itemid,hudoc_url,judgementdate,chrono_date,split,test_view,test_challenging_view
001-57544,https://hudoc.echr.coe.int/eng?i=001-57544,27/06/1968 00:00:00,1968-06-27,train,,False
001-57496,https://hudoc.echr.coe.int/eng?i=001-57496,21/02/1975 00:00:00,1975-02-21,train,,False
001-57506,https://hudoc.echr.coe.int/eng?i=001-57506,18/01/1978 00:00:00,1978-01-18,train,,False
001-57587,https://hudoc.echr.coe.int/eng?i=001-57587,25/04/1978 00:00:00,1978-04-25,train,,False
001-57530,https://hudoc.echr.coe.int/eng?i=001-57530,28/11/1978 00:00:00,1978-11-28,train,,False
001-57534,https://hudoc.echr.coe.int/eng?i=001-57534,13/06/1979 00:00:00,1979-06-13,train,,False
001-57597,https://hudoc.echr.coe.int/eng?i=001-57597,24/10/1979 00:00:00,1979-10-24,train,,False
001-57469,https://hudoc.echr.coe.int/eng?i=001-57469,27/02/1980 00:00:00,1980-02-27,train,,False
001-57463,https://hudoc.echr.coe.int/eng?i=001-57463,10/12/1982 00:00:00,1982-12-10,train,,False
001-57540,https://hudoc.echr.coe.int/eng?i=001-57540,25/03/1983 00:00:00,1983-03-25,train,,False
001-57554,https://hudoc.echr.coe.int/eng?i=001-57554,25/04/1983 00:00:00,1983-04-25,train,,False
001-57609,https://hudoc.echr.coe.int/eng?i=001-57609,13/07/1983 00:00:00,1983-07-13,train,,False
001-72567,https://hudoc.echr.coe.int/eng?i=001-72567,23/02/1984 00:00:00,1984-02-23,train,,False
001-57456,https://hudoc.echr.coe.int/eng?i=001-57456,28/06/1984 00:00:00,1984-06-28,train,,False
001-57497,https://hudoc.echr.coe.int/eng?i=001-57497,10/07/1984 00:00:00,1984-07-10,train,,False
001-57533,https://hudoc.echr.coe.int/eng?i=001-57533,02/08/1984 00:00:00,1984-08-02,train,,False
001-57581,https://hudoc.echr.coe.int/eng?i=001-57581,22/10/1984 00:00:00,1984-10-22,train,,False
001-57538,https://hudoc.echr.coe.int/eng?i=001-57538,26/10/1984 00:00:00,1984-10-26,train,,False
001-57416,https://hudoc.echr.coe.int/eng?i=001-57416,28/05/1985 00:00:00,1985-05-28,train,,False
001-57436,https://hudoc.echr.coe.int/eng?i=001-57436,23/10/1985 00:00:00,1985-10-23,train,,False
001-57468,https://hudoc.echr.coe.int/eng?i=001-57468,29/05/1986 00:00:00,1986-05-29,train,,False
001-57523,https://hudoc.echr.coe.int/eng?i=001-57523,08/07/1986 00:00:00,1986-07-08,train,,False
001-57571,https://hudoc.echr.coe.int/eng?i=001-57571,21/10/1986 00:00:00,1986-10-21,train,,False
001-57508,https://hudoc.echr.coe.int/eng?i=001-57508,18/12/1986 00:00:00,1986-12-18,train,,False
001-57441,https://hudoc.echr.coe.int/eng?i=001-57441,27/10/1987 00:00:00,1987-10-27,train,,False
001-57505,https://hudoc.echr.coe.int/eng?i=001-57505,28/10/1987 00:00:00,1987-10-28,train,,False
001-57490,https://hudoc.echr.coe.int/eng?i=001-57490,18/12/1987 00:00:00,1987-12-18,train,,False
001-57446,https://hudoc.echr.coe.int/eng?i=001-57446,27/04/1988 00:00:00,1988-04-27,train,,False
001-57477,https://hudoc.echr.coe.int/eng?i=001-57477,26/05/1988 00:00:00,1988-05-26,train,,False
001-57555,https://hudoc.echr.coe.int/eng?i=001-57555,26/05/1988 00:00:00,1988-05-26,train,,False
001-57575,https://hudoc.echr.coe.int/eng?i=001-57575,20/06/1988 00:00:00,1988-06-20,train,,False
001-57547,https://hudoc.echr.coe.int/eng?i=001-57547,26/10/1988 00:00:00,1988-10-26,train,,False
